Species,Code,Depth,Period,Days,Biomass,change,mass,mass_change
Laminaria ochroleuca,LO_1,0m,End,108,0,-14.4,0,-100
Laminaria ochroleuca,LO_2,0m,End,108,0,-13.09,0,-100
Laminaria ochroleuca,LO_3,0m,End,108,4.48,-9.92,32.84457478,-67.15542522
Laminaria ochroleuca,LO_4,0m,End,108,0,-14.46,0,-100
Laminaria ochroleuca,LO_5,0m,End,108,0,-10.63,0,-100
Laminaria ochroleuca,LO_1,15m,End,108,0,-7.67,0,-100
Laminaria ochroleuca,LO_2,15m,End,108,12.02,-0.27,97.24919094,-2.750809061
Laminaria ochroleuca,LO_3,15m,End,108,16.48,0.13,108.8507266,8.850726552
Laminaria ochroleuca,LO_4,15m,End,108,15.53,1.22,119.095092,19.09509202
Laminaria ochroleuca,LO_5,15m,End,108,9.34,-1.45,89.89412897,-10.10587103
Laminaria ochroleuca,LO_1,30m,End,108,0,0,0,-100
Laminaria ochroleuca,LO_2,30m,End,108,0,0,0,-100
Laminaria ochroleuca,LO_3,30m,End,108,0,-12.28,0,-100
Laminaria ochroleuca,LO_4,30m,End,108,0,-11.37,0,-100
Laminaria ochroleuca,LO_5,30m,End,108,0,,0,-100
